Id,Author,Message,Timestamp,Location
1,ropf,"A bird at DR Byen",1690891760,DR Byen
2,adho,"I think that is a Heron at DR Byen",1690978778,DR Byen
3,edka,"Ardea cinerea at DR Byen",1690979858,DR Byen
4,timhl,"Heron at DR Byen",1787926897,DR Byen
5,rat,"test, test, test",1788512788,DR Byen
6,rasmu,"banana, banana, banana",1788770711,DR Byen
7,asbjo,hello,1788814256,DR Byen
8,rat,test7,1788903579,DR Byen
9,rat,test7,1788903655,DR Byen
10,rat,test5,1789069441,DR Byen
11,rat,test8,1789072677,DR Byen
12,rat,test 10,1789116138,DR Byen
13,rasmu,"money, money, money, this is a test!!!.",1789690121,DR byen
